"FamilyID_idx";"GenusID";"Extinct";"GenusSc";"Authority";"Code";"Comment"
5611;5622;;"Recurvirostra";"Linnaeus, 1758";;
5628;5629;;"Vanellus";"Brisson, 1760";;
5628;5674;;"Erythrogonys";"Gould, 1838";;
5628;5676;;"Peltohyas";"Sharpe, 1896";;
5628;5678;;"Anarhynchus";"Quoy & Gaimard, 1832";;
5628;5680;;"Pluvialis";"Brisson, 1760";"PHY";"The Pluvialis plovers are members of the traditional plover family Charadriidae (Baker et al. 2012; cf. Baker et al. 2007)."
5628;5688;;"Charadrius";"Linnaeus, 1758";;
5628;5761;;"Thinornis";"Gray, GR, 1844";;
5628;5764;;"Elseyornis";"Mathews, 1914";;
5628;5766;;"Oreopholus";"Jardine & Selby, 1835";;
5628;5770;;"Phegornis";"Gray, GR, 1847";;
5628;5772;;"Hoploxypterus";"Bonaparte, 1856";;
5775;5776;;"Pluvianus";"Vieillot, 1816";;
5779;5780;;"Rostratula";"Vieillot, 1816";;
5779;5783;;"Nycticryphes";"Wetmore & Peters, JL, 1923";;
5786;5787;;"Microparra";"Cabanis, 1877";;
5786;5789;;"Actophilornis";"Oberholser, 1925";;
5786;5792;;"Irediparra";"Mathews, 1911";;
5786;5794;;"Hydrophasianus";"Wagler, 1832";;
5786;5796;;"Metopidius";"Wagler, 1832";;
5786;5798;;"Jacana";"Brisson, 1760";;
5808;5809;;"Pedionomus";"Gould, 1840";;
5812;5813;;"Attagis";"Geoffroy Saint-Hilaire, I & Lesson, R, 1831";;
5812;5819;;"Thinocorus";"Eschscholtz, 1829";;
5828;5829;;"Bartramia";"Lesson, R, 1831";;
5828;5831;;"Numenius";"Brisson, 1760";;
5828;5851;;"Limosa";"Brisson, 1760";;
5828;5865;;"Arenaria";"Brisson, 1760";"TAX, SEQ";"Classification of Scolopaci follows Gibson & Baker (2012); Banks (2012)."
5828;5870;;"Prosobonia";"Bonaparte, 1850";"TAX";"Aechmorhynchus is synonymized with Prosobonia (Cibois et al. 2012)."
5828;5875;;"Calidris";"Merrem, 1804";;
5828;5924;;"Limnodromus";"Wied-Neuwied, 1833";;
5828;5931;;"Scolopax";"Linnaeus, 1758";;
5828;5942;;"Coenocorypha";"Gray, GR, 1855";;
5828;5951;;"Lymnocryptes";"Boie, F, 1826";;
5828;5953;;"Gallinago";"Brisson, 1760";;
5828;5984;;"Xenus";"Kaup, 1829";;
5828;5986;;"Phalaropus";"Brisson, 1760";;
5828;5990;;"Actitis";"Illiger, 1811";;
5828;5993;;"Tringa";"Linnaeus, 1758";;
6018;6019;;"Dromas";"Paykull, 1805";"PHY, SEQ";"Molecular data place Crab-plover as relative of coursers and pratincoles (Glareolidae) (Pereira & Baker 2010)."
6022;6023;;"Cursorius";"Latham, 1790";;
6022;6037;;"Rhinoptilus";"Strickland, 1852";;
6022;6055;;"Stiltia";"Gray, GR, 1855";;
6022;6057;;"Glareola";"Brisson, 1760";;
6070;6071;;"Anous";"Stephens, 1826";;
6070;6098;;"Gygis";"Wagler, 1832";;
6070;6104;;"Rynchops";"Linnaeus, 1758";;
6070;6111;;"Creagrus";"Bonaparte, 1854";;
6070;6113;;"Rissa";"Stephens, 1826";;
6070;6118;;"Pagophila";"Kaup, 1829";;
6070;6120;;"Xema";"Leach, 1819";;
6070;6122;;"Chroicocephalus";"Eyton, 1836";;
6070;6139;;"Hydrocoloeus";"Kaup, 1829";;
6070;6141;;"Rhodostethia";"MacGillivray, W, 1842";;
6070;6143;;"Leucophaeus";"Bruch, 1855";;
6070;6151;;"Ichthyaetus";"Kaup, 1829";;
6070;6158;;"Larus";"Linnaeus, 1758";;
6070;6215;;"Gelochelidon";"Brehm, CL, 1830";;
6070;6223;;"Hydroprogne";"Kaup, 1829";;
6070;6225;;"Thalasseus";"Boie, F, 1822";;
6070;6243;;"Sternula";"Boie, F, 1822";"TAX";"See Bridge et al. (2005) for revision of tern genera."
6070;6260;;"Onychoprion";"Wagler, 1832";;
6070;6275;;"Sterna";"Linnaeus, 1758";;
6070;6308;;"Chlidonias";"Rafinesque, 1822";;
6070;6318;;"Phaetusa";"Wagler, 1832";;
6070;6320;;"Larosterna";"Blyth, 1852";;
6323;6324;;"Stercorarius";"Brisson, 1760";"PHY, TAX";"Merge Catharacta skuas into Stercorarius (AOU 2000; BOU/Sangster et al. 2004; Chu et al. 2009)."
6338;6339;;"Alle";"Link, 1806";;
6338;6343;;"Uria";"Brisson, 1760";;
6338;6355;;"Alca";"Linnaeus, 1758";;
6338;6359;"1";"Pinguinus";"Bonnaterre, 1791";;
6338;6361;;"Cepphus";"Pallas, 1769";;
6338;6375;;"Brachyramphus";"Brandt, JF, 1837";;
6338;6379;;"Synthliboramphus";"Brandt, JF, 1837";;
6338;6387;;"Ptychoramphus";"Brandt, JF, 1837";;
6338;6391;;"Aethia";"Merrem, 1788";;
6338;6396;;"Cerorhinca";"Bonaparte, 1828";;
6338;6398;;"Fratercula";"Brisson, 1760";;
6404;6405;;"Rhynochetos";"Verreaux, J & Des Murs, 1860";;
6408;6409;;"Eurypyga";"Illiger, 1811";;
6416;6417;;"Phaethon";"Linnaeus, 1758";;
6436;6437;;"Gavia";"Forster, JR, 1788";;
6447;6448;;"Aptenodytes";"Miller, JF, 1778";;
6447;6451;;"Pygoscelis";"Wagler, 1832";;
6447;6457;;"Eudyptes";"Vieillot, 1816";;
6447;6467;;"Megadyptes";"Milne-Edwards, 1880";;
6447;6469;;"Eudyptula";"Bonaparte, 1856";;
6447;6477;;"Spheniscus";"Brisson, 1760";;
6484;6485;;"Oceanites";"Keyserling & Blasius, JH, 1840";;
6484;6494;;"Garrodia";"Forbes, WA, 1881";;
6484;6496;;"Pelagodroma";"Reichenbach, 1853";;
6484;6504;;"Fregetta";"Bonaparte, 1855";;
6484;6514;;"Nesofregetta";"Mathews, 1912";;
6517;6518;;"Phoebastria";"Reichenbach, 1853";;
6517;6523;;"Diomedea";"Linnaeus, 1758";;
6517;6532;;"Phoebetria";"Reichenbach, 1853";;
6517;6535;;"Thalassarche";"Reichenbach, 1853";;
6550;6551;;"Hydrobates";"Boie, F, 1822";;
6550;6555;;"Oceanodroma";"Reichenbach, 1853";"PHY, TAX";"Oceanodroma is paraphyletic with inclusion of Hydrobates, which would have priority for these species if confirmed (Robertson et al. 2011; H&M 4)."
6580;6581;;"Macronectes";"Richmond, 1905";;
6580;6584;;"Fulmarus";"Stephens, 1826";;
6580;6590;;"Thalassoica";"Reichenbach, 1853";;
6580;6592;;"Daption";"Stephens, 1826";;
6580;6596;;"Pagodroma";"Bonaparte, 1856";;
6580;6600;;"Halobaena";"Bonaparte, 1856";;
6580;6602;;"Pachyptila";"Illiger, 1811";;
6580;6616;;"Aphrodroma";"Olson, 2000";"TAX";"According to Bourne (2001), Mathews (1942) specifically bestowed Lugensa as the generic name for the species; it should stand rather than Aphrodroma, contra Olson (2000)."
6580;6618;;"Pterodroma";"Bonaparte, 1856";;
6580;6658;;"Pseudobulweria";"Mathews, 1936";;
6580;6666;;"Procellaria";"Linnaeus, 1758";;
6580;6672;;"Calonectris";"Mathews & Iredale, 1915";;
6580;6677;;"Ardenna";"Reichenbach, 1853";"PHY, TAX";"The genus Puffinus is polyphyletic; separate pacificus, bulleri, griseus, tenuirostris, creatopus, carneipes and gravis to Ardenna (Penhallurick & Wink 2004; Christidis & Boles 2008; H&M 4; SACC)."
6580;6685;;"Puffinus";"Brisson, 1760";;
6580;6720;;"Pelecanoides";"Lacépède, 1799";"PHY, TAX";"Diving petrels are nested within Procellariidae. Sequence genus provisionally after Puffinus (Christidis & Boles 2008; Cracraft 2013; Prum et al. 2015; SACC 687)."
6580;6733;;"Bulweria";"Bonaparte, 1843";;
6739;6740;;"Mycteria";"Linnaeus, 1758";;
6739;6745;;"Anastomus";"Bonnaterre, 1791";;
6739;6750;;"Ciconia";"Brisson, 1760";;
6739;6763;;"Ephippiorhynchus";"Bonaparte, 1855";;
6739;6768;;"Jabiru";"Hellmayr, 1906";;
6739;6770;;"Leptoptilos";"Lesson, R, 1831";;
6776;6777;;"Fregata";"Lacépède, 1799";;
6792;6793;;"Morus";"Vieillot, 1816";;
6792;6797;;"Papasula";"Olson & Warheit, 1988";;
6792;6799;;"Sula";"Brisson, 1760";;
6820;6821;;"Anhinga";"Brisson, 1760";;
6834;6835;;"Microcarbo";"Bonaparte, 1856";"TAX";"Microcarbo is split from Phalacrocorax (Siegel-Causey 1988; Kennedy et al. 2000, 2019; Christidis & Boles 2008)."
6834;6846;;"Phalacrocorax";"Brisson, 1760";;
