"GenusID_idx";"SpeciesID";"Extinct";"SpeciesEn";"SpeciesSc";"Authority";"BrRange";"NonbrRange";"Code";"Comment";"SpeciesUA"
24191;24192;;"Rusty-crowned Babbler";"Sterrhoptilus capitalis";"(Tweeddale, 1877)";"OR : Philippines";;"TAX, PHY";"Reclassify Stachyris capitalis to Sterrhoptilus in the Zosteropidae (Cibois 2003; Moyle et al. 2009).";"Баблер рудогорлий"
24191;24196;;"Golden-crowned Babbler";"Sterrhoptilus dennistouni";"(Ogilvie-Grant, 1895)";"OR : Philippines";;"TAX, PHY";"Reclassify Stachyris dennistouni to Sterrhoptilus in the Zosteropidae (Cibois 2003; Moyle et al. 2009).";"Баблер лусонський"
24191;24197;;"Black-crowned Babbler";"Sterrhoptilus nigrocapitatus";"(Steere, 1890)";"OR : Philippines";;"TAX, PHY";"Reclassify Stachyris nigrocapitata to Sterrhoptilus in the Zosteropidae (Cibois 2003; Moyle et al. 2009).";"Баблер чорноголовий"
24201;24202;;"Palawan Striped Babbler";"Zosterornis hypogrammicus";"(Salomonsen, 1961)";"OR : Philippines";;;;"Тимелія-Темнодзьоб палаванська"
24201;24203;;"Luzon Striped Babbler";"Zosterornis striatus";"Ogilvie-Grant, 1894";"OR : Philippines";;;;"Тимелія-Темнодзьоб смугаста"
24201;24204;;"Chestnut-faced Babbler";"Zosterornis whiteheadi";"Ogilvie-Grant, 1894";"OR : Philippines";;"TAX, SEQ";"Separate 5 species of Philippine Stachyris babblers to Zosterornis in the Zosteropidae (Moyle et al. 2009).";"Тимелія-Темнодзьоб рудощока"
24201;24207;;"Panay Striped Babbler";"Zosterornis latistriatus";"(Gonzales & Kennedy, 1990)";"OR : Philippines";;;;"Тимелія-Темнодзьоб білощока"
24201;24208;;"Negros Striped Babbler";"Zosterornis nigrorum";"(Rand & Rabor, 1952)";"OR : Philippines";;;;"Тимелія-Темнодзьоб негроська"
24209;24210;;"Golden White-eye";"Cleptornis marchei";"(Oustalet, 1889)";"PO : Mariana Is.";;;;"Окулярник золотий"
24211;24212;;"Teardrop White-eye";"Rukia ruki";"(Hartert, 1897)";"PO : Caroline Is.";;;;"Рукія чуюцька"
24211;24213;;"Long-billed White-eye";"Rukia longirostra";"(Taka-Tsukasa & Yamashina, 1931)";"PO : Caroline Is.";;;;"Рукія довгодзьоба"
24214;24215;;"Giant White-eye";"Megazosterops palauensis";"(Reichenow, 1915)";"PO : Palau Is.";;"TAX";"Phylogenetic relationships of Megazosterops are uncertain; not sampled in Cai et al. (2019).";"Рукія палауська"
24216;24217;;"Mees's White-eye";"Heleia javanica";"(Horsfield, 1821)";"OR : Java";;"ENG, TAX, PHY";"Change English name of L. javanicus to “Mees’s White-eye” to honor Gerlof Mees’s landmark work on Indo-Austrailia white-eyes. Formerly attributed to Lophozosterops. Note gender agreement. Four species of former Lophozosterops (pinaiae, goodfellowi, squami";"Окулярець жовточеревий"
24216;24221;;"Grey-hooded White-eye";"Heleia pinaiae";"(Stresemann, 1912)";"AU : Moluccas";;"ENG, TAX, PHY";"Formerly attributed to Lophozosterops. ";"Окулярець серамський"
24216;24222;;"Pygmy White-eye";"Heleia squamifrons";"(Sharpe, 1892)";"OR : Borneo";;"ENG, TAX, PHY";"Formerly attributed to monotypic Oculocincta but embedded in Heleia (Moyle et al. 2009). Replace controversial Tagalog name “Ibon” (=bird) with established, phylogenetically appropriate “White-eye”.";"Окулярець-Крихітка "
24216;24223;;"Mindanao White-eye";"Heleia goodfellowi";"(Hartert, 1903)";"OR : Philippines";;"ENG, TAX, PHY";"Formerly attributed to Lophozosterops. ";"Окулярець масковий"
24216;24227;;"Streak-headed White-eye";"Heleia squamiceps";"(Hartert, 1896)";"AU : Sulawesi";;"ENG, TAX, PHY";"Formerly attributed to Lophozosterops. Note gender agreement.";"Окулярець малий"
24216;24234;;"Cream-browed White-eye";"Heleia superciliaris";"(Hartert, 1897)";"AU : Lesser Sundas";;"ENG, TAX, PHY";"Formerly attributed to Lophozosterops. Note gender agreement.";"Окулярець жовтобровий"
24216;24237;;"Crested White-eye";"Heleia dohertyi";"(Hartert, 1896)";"AU : Lesser Sundas";;"ENG, TAX, PHY";"Formerly attributed to Lophozosterops. Note gender agreement.";"Окулярець чубатий"
24216;24240;;"Spot-breasted Heleia";"Heleia muelleri";"Hartlaub, 1865";"AU : Lesser Sundas";;;;"Гелея строкатогруда"
24216;24241;;"Thick-billed Heleia";"Heleia crassirostris";"(Hartert, 1897)";"AU : Lesser Sundas";;;;"Гелея великодзьоба"
24216;24242;;"Yellow-ringed White-eye";"Heleia wallacei";"(Finsch, 1901)";"AU : Lesser Sundas";;"TAX, PHY";"Formerly Zosterops wallacei, but this taxon is related to Lophozosterops (Heleia) (Moyle et al. 2009).";"Окулярник рудолобий"
24243;24244;;"Bonin White-eye";"Apalopteron familiare";"(Kittlitz, 1830)";"EU : Bonin Is.";;;;"Окулярник бонинський"
24247;24248;;"Rufescent Darkeye";"Tephrozosterops stalkeri";"(Ogilvie-Grant, 1910)";"AU : Moluccas";;;;"Окулярець манузельський"
24249;24250;;"Sri Lanka White-eye";"Zosterops ceylonensis";"Holdsworth, 1872";"OR : Sri Lanka";;;;"Окулярник цейлонський"
24249;24251;;"Yellowish White-eye";"Zosterops nigrorum";"Tweeddale, 1878";"OR : Philippines";;;;"Окулярник золотистий"
